Core checksum filename	Core checksum
O17-11_S11_L005_R1_001.fastq.gz	a7b9039598ad874c49c3d3ea63add7fc
O17-11_S11_L006_R1_001.fastq.gz	f77766275b08dc736cf235c501d04bfb
O17-11_S11_L007_R1_001.fastq.gz	25aebf2f884d0328578c2cf76249923c
O17-11_S11_L008_R1_001.fastq.gz	0a3b458ca2041b8be37c2af9f9ed87d0
O17-12_S12_L005_R1_001.fastq.gz	20cadb97cdab0d2a3254783eaeeb6636
O17-12_S12_L006_R1_001.fastq.gz	e1eb98b0e21ffb820d5f5db841806984
O17-12_S12_L007_R1_001.fastq.gz	9c7d886503ba96a571ee65f5e59263f4
O17-12_S12_L008_R1_001.fastq.gz	5a4a436174b0538e0b8de8cecd034f45
O17-13_S13_L005_R1_001.fastq.gz	fd40af7472917a81ac6438394030b4c0
O17-13_S13_L006_R1_001.fastq.gz	c28826195f93c47d7d63cf4cd9ef8523
O17-13_S13_L007_R1_001.fastq.gz	55e97da660384fb1fbfce1f961273e43
O17-13_S13_L008_R1_001.fastq.gz	1cfe017ed29f541291d43f4d08c940af
O17-14_S14_L005_R1_001.fastq.gz	88167b18bd956a56c755b3cfb76456b5
O17-14_S14_L006_R1_001.fastq.gz	4e2c3744a7232c8a3e3bafe82ded6bc6
O17-14_S14_L007_R1_001.fastq.gz	869f78bdbfffd0f99b51a763b0f94ecc
O17-14_S14_L008_R1_001.fastq.gz	1408c92176e4716dee3e9968b5d00d13
O17-15_S15_L005_R1_001.fastq.gz	301e6dd14c67bd517794d0149855ac59
O17-15_S15_L006_R1_001.fastq.gz	204190effac6e1c253b6abd63578325f
O17-15_S15_L007_R1_001.fastq.gz	b87bd812e1c908dbd04008ec50a7b200
O17-15_S15_L008_R1_001.fastq.gz	392e752ddb6511440e445b352ac2d08d
O17-16_S16_L005_R1_001.fastq.gz	5f5b03712a73059245f82ea68a344450
O17-16_S16_L006_R1_001.fastq.gz	57c7294754aa6f79843611f3e50f22e6
O17-16_S16_L007_R1_001.fastq.gz	816367c538ac4d0ee8f9a232904c3601
O17-16_S16_L008_R1_001.fastq.gz	7570c49e11bd104c1883bb64721a0fa0
O17-1_S1_L001_R1_001.fastq.gz	8d318eca04bf12a860ba957da99ab5c8
O17-1_S1_L002_R1_001.fastq.gz	ad7f82e62fe6e16992f5604dbd6822ba
O17-1_S1_L003_R1_001.fastq.gz	f24e9a0173736cb406b18d68a7b32c5e
O17-1_S1_L004_R1_001.fastq.gz	1f313ec699ffd8ae600e6027b85152ea
O17-2_S2_L001_R1_001.fastq.gz	f0378bdd3e89ad92466a622b16b8d720
O17-2_S2_L002_R1_001.fastq.gz	3ae0d5e4740047acd74279e4cea7f382
O17-2_S2_L003_R1_001.fastq.gz	289b90e51a6c7b1be91e971e66130fd6
O17-2_S2_L004_R1_001.fastq.gz	59a347475e76b5a56ca0b932f3dfc888
O17-3_S3_L001_R1_001.fastq.gz	17399c0550798df9ab10b2bcf44fb50a
O17-3_S3_L002_R1_001.fastq.gz	6e1761e0580590c4848f3c00d58b8969
O17-3_S3_L003_R1_001.fastq.gz	1022fd0766851c7b47230c906914be54
O17-3_S3_L004_R1_001.fastq.gz	1911a16f8c36f9a9a8722425c21de159
O17-4_S4_L001_R1_001.fastq.gz	70d56d457116cf52d434b0b037aa4cf3
O17-4_S4_L002_R1_001.fastq.gz	99e3e57b429aaf469d8c2c27f1ccf92c
O17-4_S4_L003_R1_001.fastq.gz	9d3e3b39f211ed6ee2264011403c79ab
O17-4_S4_L004_R1_001.fastq.gz	780a00c8daac97760be83b9c90924ac0
O17-5_S5_L001_R1_001.fastq.gz	32328a5cc0a02e750008f62e4ae11a65
O17-5_S5_L002_R1_001.fastq.gz	9034055d2ca828e3117c673aaa7a7272
O17-5_S5_L003_R1_001.fastq.gz	8ba3a61f57640e651ed03179c7b56645
O17-5_S5_L004_R1_001.fastq.gz	141854bc67512ae4414462978a33d850
O17-6_S6_L001_R1_001.fastq.gz	404e33015b2f04c12b1591d6ff3b9df9
O17-6_S6_L002_R1_001.fastq.gz	508836785854b55b72eda5452d3b1b48
O17-6_S6_L003_R1_001.fastq.gz	47859dbbeeac253239721318e68ee755
O17-6_S6_L004_R1_001.fastq.gz	d59989f3e17843850612ada42f7e298e
O17-7_S7_L001_R1_001.fastq.gz	de23d50076fe7d736b6e8de2aa70ce39
O17-7_S7_L002_R1_001.fastq.gz	e668e95df707f9d377e9f47ebd340950
